0.0000000000,0.0000183863,0.0000409620,0.0000634058,0.0000998796,0.0001357573,0.0002001923,0.0002626954,0.0003771069,0.0004863646,0.0006853633,0.0008722251,0.0012088991,0.0015193949,0.0020723338,0.0025725083,0.0034534197,0.0042337865,0.0055945333,0.0067728541,0.0088100172,0.0105305690,0.0134849702,0.0159121104,0.0200603644,0.0233642724,0.0289996857,0.0333329079,0.0407341917,0.0461992117,0.0555876633,0.0621981164,0.0736869981,0.0813280023,0.0948712721,0.1032669581,0.1186173756,0.1273151387,0.1440029932,0.1523833276,0.1697256508,0.1770431155,0.1941888499,0.1996439051,0.2156535778,0.2184877840,0.2324382218,0.2320384302,0.2431360676,0.2391288602,0.2468114167,0.2391288602,0.2431360676,0.2320384302,0.2324382218,0.2184877840,0.2156535778,0.1996439051,0.1941888499,0.1770431155,0.1697256508,0.1523833276,0.1440029932,0.1273151387,0.1186173756,0.1032669581,0.0948712721,0.0813280023,0.0736869981,0.0621981163,0.0555876632,0.0461992116,0.0407341916,0.0333329077,0.0289996853,0.0233642718,0.0200603633,0.0159121087,0.0134849672,0.0105305644,0.0088100091,0.0067728421,0.0055945126,0.0042337561,0.0034533680,0.0025724333,0.0020722086,0.0015192153,0.0012086041,0.0008718069,0.0006846888,0.0004854196,0.0003756088,0.0002606212,0.0001969610,0.0001313362,0.0000931110,0.0000542560,0.0000271939,0.0000000000
0.0000000000,0.0000410616,0.0000820559,0.0001414618,0.0002003551,0.0003023840,0.0004023165,0.0005840069,0.0007593675,0.0010791511,0.0013828636,0.0019316707,0.0024439765,0.0033589578,0.0041974322,0.0056776655,0.0070073839,0.0093297871,0.0113714925,0.0149037147,0.0179366457,0.0231421729,0.0274972014,0.0349267361,0.0409650749,0.0512280307,0.0593015627,0.0730129215,0.0834046474,0.1011059477,0.1139533251,0.1360122120,0.1512218738,0.1777217354,0.1948901279,0.2255283168,0.2438874056,0.2779052118,0.2963135066,0.3324811072,0.3494761600,0.3861496700,0.4000683789,0.4353238515,0.4444826222,0.4763154621,0.4792266729,0.5057883346,0.5013769800,0.5212088258,0.5089879466,0.5212088258,0.5013769800,0.5057883346,0.4792266729,0.4763154621,0.4444826222,0.4353238515,0.4000683789,0.3861496700,0.3494761600,0.3324811072,0.2963135066,0.2779052118,0.2438874056,0.2255283168,0.1948901279,0.1777217353,0.1512218738,0.1360122120,0.1139533250,0.1011059476,0.0834046471,0.0730129210,0.0593015619,0.0512280293,0.0409650728,0.0349267321,0.0274971955,0.0231421624,0.0179366300,0.0149036873,0.0113714520,0.0093297177,0.0070072826,0.0056774946,0.0041971857,0.0033585497,0.0024433944,0.0019307238,0.0013815287,0.0010770174,0.0007563946,0.0005793373,0.0003958868,0.0002924591,0.0001868519,0.0001209758,0.0000545198,0.0000000000
0.0000000000,0.0000638042,0.0001420001,0.0002200303,0.0003462464,0.0004711073,0.0006940143,0.0009116483,0.0013074221,0.0016880089,0.0023764217,0.0030276176,0.0041924300,0.0052750278,0.0071883641,0.0089333374,0.0119821519,0.0147064856,0.0194170688,0.0235338667,0.0305878169,0.0366042755,0.0468370126,0.0553325574,0.0697041504,0.0812812127,0.1008101118,0.1160125681,0.1416667932,0.1608666068,0.1934145427,0.2166755329,0.2565092239,0.2834469374,0.3304028007,0.3600687756,0.4132808096,0.4441047962,0.5019297853,0.5317514347,0.5918009362,0.6180110257,0.6773095858,0.6971004999,0.7523651989,0.7630647692,0.8110728933,0.8105112554,0.8484981495,0.8353415164,0.8613572469,0.8353415164,0.8484981495,0.8105112554,0.8110728933,0.7630647692,0.7523651989,0.6971004999,0.6773095858,0.6180110257,0.5918009362,0.5317514347,0.5019297853,0.4441047962,0.4132808096,0.3600687756,0.3304028007,0.2834469374,0.2565092238,0.2166755328,0.1934145425,0.1608666066,0.1416667927,0.1160125673,0.1008101104,0.0812812106,0.0697041465,0.0553325515,0.0468370020,0.0366042596,0.0305877889,0.0235338251,0.0194169969,0.0147063799,0.0119819724,0.0089330768,0.0071879291,0.0052744035,0.0041914063,0.0030261651,0.0023740814,0.0016847270,0.0013022259,0.0009044468,0.0006828091,0.0004557614,0.0003227788,0.0001882755,0.0000942695,0.0000000000
0.0000000000,0.0001009944,0.0002021098,0.0003479380,0.0004934928,0.0007437624,0.0009909852,0.0014365733,0.0018706637,0.0026549397,0.0034071966,0.0047533361,0.0060230983,0.0082678689,0.0103476589,0.0139801559,0.0172814007,0.0229823884,0.0280564305,0.0367303552,0.0442764799,0.0570644064,0.0679140162,0.0861727690,0.1012377565,0.1264699184,0.1466451039,0.1803679068,0.2063833503,0.2499331358,0.2821627059,0.3364456621,0.3746925514,0.4399101386,0.4832053618,0.5586004025,0.6050622608,0.6887436026,0.7355494036,0.8244535417,0.8679651243,0.9579981473,0.9940584388,1.0804309715,1.1048129044,1.1825394339,1.1914888758,1.2559808378,1.2467628462,1.2944143128,1.2657580084,1.2944143128,1.2467628462,1.2559808378,1.1914888758,1.1825394339,1.1048129044,1.0804309715,0.9940584388,0.9579981473,0.8679651243,0.8244535417,0.7355494036,0.6887436026,0.6050622608,0.5586004025,0.4832053618,0.4399101385,0.3746925513,0.3364456620,0.2821627057,0.2499331354,0.2063833497,0.1803679055,0.1466451020,0.1264699149,0.1012377511,0.0861727593,0.0679140015,0.0570643804,0.0442764410,0.0367302875,0.0280563305,0.0229822170,0.0172811503,0.0139797346,0.0103470504,0.0082668632,0.0060216621,0.0047510040,0.0034039047,0.0026496868,0.0018633352,0.0014250814,0.0009751412,0.0007193439,0.0004602265,0.0002975457,0.0001342829,0.0000000000
0.0000000000,0.0001380635,0.0003067474,0.0004761192,0.0007479807,0.0010194641,0.0014993716,0.0019729959,0.0028250410,0.0036538897,0.0051361447,0.0065554320,0.0090640467,0.0114256907,0.0155476956,0.0193582264,0.0259290123,0.0318852368,0.0420419985,0.0510546438,0.0662715650,0.0794628541,0.1015486315,0.1202067458,0.1512420712,0.1767156006,0.2189098249,0.2524306048,0.3078852587,0.3503198801,0.4207032061,0.4722518584,0.5584120375,0.6182957036,0.7198670714,0.7860652119,0.9011445346,0.9702579497,1.0952381737,1.1625482043,1.2921872703,1.3519580004,1.4797267408,1.5257520428,1.6444511996,1.6707911861,1.7733643389,1.7751603738,1.8555739165,1.8297948802,1.8838257790,1.8297948802,1.8555739165,1.7751603738,1.7733643389,1.6707911861,1.6444511996,1.5257520428,1.4797267408,1.3519580004,1.2921872703,1.1625482043,1.0952381737,0.9702579497,0.9011445346,0.7860652119,0.7198670713,0.6182957036,0.5584120373,0.4722518582,0.4207032057,0.3503198796,0.3078852577,0.2524306031,0.2189098219,0.1767155960,0.1512420627,0.1202067330,0.1015486085,0.0794628195,0.0662715042,0.0510545534,0.0420418425,0.0318850074,0.0259286233,0.0193576609,0.0155467536,0.0114243368,0.0090618312,0.0065522839,0.0051310828,0.0036467804,0.0028138071,0.0019574025,0.0014751551,0.0009862465,0.0006972765,0.0004073979,0.0002036366,0.0000000000
0.0000000000,0.0002048383,0.0004106970,0.0007057139,0.0010028466,0.0015086795,0.0020140412,0.0029144788,0.0038026146,0.0053876441,0.0069280606,0.0096493247,0.0122519659,0.0167914847,0.0210592062,0.0284083690,0.0351911854,0.0467312899,0.0571716830,0.0747399512,0.0902922823,0.1162094075,0.1386109099,0.1756399319,0.2068081818,0.2580129288,0.2998479905,0.3683259296,0.4224071996,0.5108890083,0.5780783798,0.6884153062,0.7684080364,0.9010048410,0.9919020082,1.1451901832,1.2431927159,1.4132643395,1.5125971372,1.6931217948,1.7862777524,1.9687945242,2.0471384813,2.2217512413,2.2764486650,2.4328661450,2.4560169198,2.5847899201,2.5705775657,2.6643204553,2.6099553472,2.6643204553,2.5705775657,2.5847899201,2.4560169198,2.4328661450,2.2764486650,2.2217512413,2.0471384813,1.9687945242,1.7862777524,1.6931217948,1.5125971372,1.4132643395,1.2431927159,1.1451901832,0.9919020082,0.9010048409,0.7684080362,0.6884153059,0.5780783793,0.5108890074,0.4224071983,0.3683259271,0.2998479866,0.2580129216,0.2068081709,0.1756399121,0.1386108800,0.1162093544,0.0902922030,0.0747398131,0.0571714787,0.0467309410,0.0351906748,0.0284075120,0.0210579664,0.0167894403,0.0122490417,0.0096445870,0.0069213621,0.0053769790,0.0037877101,0.0028911567,0.0019818303,0.0014591392,0.0009352349,0.0006034985,0.0002728655,0.0000000000
0.0000000000,0.0002705925,0.0006000187,0.0009331927,0.0014632198,0.0019983661,0.0029335885,0.0038682634,0.0055287719,0.0071660113,0.0100554601,0.0128618403,0.0177539506,0.0224290760,0.0304714822,0.0380248580,0.0508525668,0.0626770545,0.0825185684,0.1004411955,0.1301894192,0.1564715835,0.1996811892,0.2369338899,0.2977005678,0.3486799421,0.4313596345,0.4986179235,0.6073603711,0.6927505735,0.8308538871,0.9349229501,1.1040628136,1.2254136160,1.4248544866,1.5596007967,1.7855433435,1.9270095552,2.1722510518,2.3110640854,2.5651303936,2.6898038624,2.9396449380,3.0376657762,3.2688973301,3.3282078092,3.5267522162,3.5374048211,3.6912693125,3.6469540281,3.7478206177,3.6469540281,3.6912693125,3.5374048211,3.5267522162,3.3282078092,3.2688973301,3.0376657762,2.9396449380,2.6898038624,2.5651303936,2.3110640854,2.1722510518,1.9270095552,1.7855433435,1.5596007967,1.4248544865,1.2254136158,1.1040628134,0.9349229498,0.8308538864,0.6927505724,0.6073603690,0.4986179203,0.4313596286,0.3486799329,0.2977005511,0.2369338645,0.1996811439,0.1564715153,0.1301892996,0.1004410174,0.0825182619,0.0626766030,0.0508518033,0.0380237462,0.0304696350,0.0224264163,0.0177496089,0.0128556605,0.0100455467,0.0071520633,0.0055067819,0.0038376837,0.0028862028,0.0019332451,0.0013640279,0.0007984957,0.0003983283,0.0000000000
0.0000000000,0.0003910185,0.0007855924,0.0013472437,0.0019184736,0.0028806052,0.0038536835,0.0055662431,0.0072781983,0.0102935265,0.0132659284,0.0184449297,0.0234729203,0.0321169529,0.0403727887,0.0543757913,0.0675171691,0.0895215824,0.1097843407,0.1433101852,0.1735526153,0.2230536993,0.2667083735,0.3374970742,0.3983802575,0.4963586139,0.5782926820,0.7094394892,0.8156657876,0.9852625256,1.1176636448,1.3292976942,1.4875066518,1.7419623422,1.9225015256,2.2167232550,2.4123703062,2.7387347551,2.9383334295,3.2844748317,3.4733758743,3.8227506203,3.9839716321,4.3172232016,4.4332670702,4.7302789485,4.7853793146,5.0277235667,5.0101408349,5.1834966797,5.0874190674,5.1834966797,5.0101408349,5.0277235667,4.7853793146,4.7302789485,4.4332670702,4.3172232016,3.9839716321,3.8227506203,3.4733758743,3.2844748317,2.9383334295,2.7387347551,2.4123703062,2.2167232550,1.9225015255,1.7419623420,1.4875066516,1.3292976936,1.1176636439,0.9852625240,0.8156657850,0.7094394843,0.5782926744,0.4963586001,0.3983802363,0.3374970362,0.2667083159,0.2230535975,0.1735524627,0.1433099205,0.1097839483,0.0895209139,0.0675161891,0.0543741508,0.0403704111,0.0321130425,0.0234673173,0.0184358737,0.0132531009,0.0102731509,0.0072496703,0.0055217044,0.0037920518,0.0027860227,0.0017891359,0.0011521216,0.0005219520,0.0000000000
0.0000000000,0.0005078891,0.0011239634,0.0017517162,0.0027413289,0.0037518975,0.0054974763,0.0072648273,0.0103647179,0.0134639679,0.0188603161,0.0241790299,0.0333206711,0.0421930265,0.0572316780,0.0715883493,0.0955939801,0.1181077654,0.1552716133,0.1894625893,0.2452354194,0.2954822250,0.3765751513,0.4479657759,0.5621282156,0.6600815742,0.8155747896,0.9451815637,1.1498958716,1.3149700967,1.5751947477,1.7770975298,2.0960420756,2.3324275755,2.7086982854,2.9724203915,3.3987487115,3.6772257293,4.1397935340,4.4151259374,4.8938016219,5.1438511124,5.6135236194,5.8139883279,6.2469728662,6.3742615999,6.7434940526,6.7779692959,7.0604753647,6.9894727885,7.1694681063,6.9894727885,7.0604753647,6.7779692959,6.7434940526,6.3742615999,6.2469728662,5.8139883279,5.6135236194,5.1438511124,4.8938016219,4.4151259374,4.1397935340,3.6772257293,3.3987487115,2.9724203915,2.7086982853,2.3324275752,2.0960420752,1.7770975292,1.5751947464,1.3149700946,1.1498958677,0.9451815576,0.8155747784,0.6600815568,0.5621281841,0.4479657280,0.3765750659,0.2954820962,0.2452351944,0.1894622535,0.1552710368,0.1181069150,0.0955925458,0.0715862568,0.0572282105,0.0421880251,0.0333125268,0.0241674164,0.0188417303,0.0134377693,0.0103235087,0.0072074116,0.0054087022,0.0036296581,0.0025555299,0.0014989029,0.0007461820,0.0000000000
0.0000000000,0.0007205640,0.0014506559,0.0024829855,0.0035432281,0.0053102955,0.0071194969,0.0102650178,0.0134518779,0.0189924361,0.0245323382,0.0340540478,0.0434377078,0.0593412721,0.0747725475,0.1005571564,0.1251626366,0.1657188614,0.2037317577,0.2655870681,0.3224442482,0.4138755924,0.4961442307,0.6270476899,0.7420852549,0.9234842614,1.0787433387,1.3218373908,1.5237660386,1.8384823303,2.0910477194,2.4841620720,2.7871365452,3.2601673269,3.6074436491,4.1546656268,4.5329784191,5.1400098156,5.5284890397,6.1719253551,6.5428535634,7.1913171570,7.5122834053,8.1290194002,8.3663744670,8.9131865306,9.0363660001,9.4783302038,9.4643185395,9.7744462072,9.6115077810,9.7744462072,9.4643185395,9.4783302038,9.0363660001,8.9131865306,8.3663744670,8.1290194002,7.5122834053,7.1913171570,6.5428535634,6.1719253550,5.5284890397,5.1400098156,4.5329784191,4.1546656267,3.6074436490,3.2601673265,2.7871365447,2.4841620709,2.0910477178,1.8384823272,1.5237660338,1.3218373817,1.0787433246,0.9234842358,0.7420852155,0.6270476193,0.4961441236,0.4138754039,0.3224439651,0.2655865784,0.2037310305,0.1657176256,0.1251608221,0.1005541268,0.0747681490,0.0593340554,0.0434273486,0.0340373446,0.0245086348,0.0189548714,0.0133991837,0.0101829316,0.0070056872,0.0051360091,0.0033044227,0.0021234514,0.0009638732,0.0000000000
